,Project Name,Address,City,State,Part 3 Approval,Total Project Costs,2010 Census Tract,Region
186,Neal Terrace Unit 29,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
187,Neal Terrace Unit 27,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
188,Neal Terrace Unit 25,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
189,Neal Terrace Unit 23,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
190,Neal Terrace Unit 21,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
191,Neal Terrace Unit 19,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
192,Neal Terrace Unit 17,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
193,Neal Terrace Unit 15,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
194,Neal Terrace Unit 13,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
195,Neal Terrace Unit 11,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
196,Neal Terrace Unit 9,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
197,Neal Terrace Unit 7,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
198,Neal Terrace Unit 5,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
199,Neal Terrace Unit 3,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
200,Neal Terrace Unit 1,8811 Detroit Avenue,Cleveland,OH,2013-04-19,134042.0,,Cleveland
201,Dr. William Gifford House & Carriage House,3047 Prospect Avenue,Cleveland,OH,2013-04-29,576389.0,,Cleveland
202,Edwin Hotel,1303 Prospect Avenue,Cleveland,OH,2013-05-31,2111086.0,,Cleveland
203,Athens Pastries Building,2545 Lorain Avenue,Cleveland,OH,2013-08-16,965000.0,,Cleveland
204,Lang Furniture Building,9431 Lorain Avenue,Cleveland,OH,2013-08-28,5500000.0,,Cleveland
205,Cowell & Hubbard Building,1301-1309 Euclid Avenue,Cleveland,OH,2013-10-30,6392000.0,,Cleveland
206,New England Building,"617-637 Euclid Avenue, 614-626 Vincent Avenue",Cleveland,OH,2013-11-25,13500000.0,,Cleveland
207,Sovereign Hotel (University Tower Apartments),1575 East Boulevard,Cleveland,OH,2013-12-04,22125000.0,,Cleveland
208,Woodland Avenue & West Side Railroad Powerhouse,2000 Sycamore Street,Cleveland,OH,2013-12-26,10609000.0,,Cleveland
209,Hanna Building Complex,1400-1438 Euclid Avenue,Cleveland,OH,2014-01-21,56000000.0,,Cleveland
210,Krause Building,2042-2044 East 4th Street,Cleveland,OH,2014-01-24,2000000.0,,Cleveland
211,Wigmore Coliseum / Euclid Square Garage,1901 East 13th Street,Cleveland,OH,2014-02-25,22441880.0,,Cleveland
212,F.W. Woolworth Building (Haig-Avedisian Building),1317 Euclid Avenue,Cleveland,OH,2014-03-19,4196958.0,,Cleveland
213,The Rialto Theater Building,1867-1873 West 25th Street,Cleveland,OH,2014-04-11,3796580.0,,Cleveland
214,Hertel Dry Goods / Danzinger SEwing Machines,3900-04 Lorain Avenue,Cleveland,OH,2014-06-25,339000.0,,Cleveland
215,M.T. Silver Building,2320 Superior Avenue,Cleveland,OH,2014-09-10,8996600.0,,Cleveland
216,Globe Machine And Stamping Company,1250 West 76th Street,Cleveland,OH,2014-12-30,12000000.0,,Cleveland
217,The Whittier Hotel,415 Burns Street,Detroit,MI,2009-02-24,18900000.0,,Detroit
218,Iodent Building,2233 Park Avenue,Detroit,MI,2009-02-24,7350000.0,,Detroit
219,Caille Brothers Building,6200 SEcond Avenue,Detroit,MI,2009-02-26,12112111.0,,Detroit
